X,Y,Z
499471.625,5418405.5,251.1199951171875
499472.21875,5418417.0,249.86000061035156
499472.78125,5418428.0,249.6999969482422
499473.375,5418439.5,248.75999450683594
499473.875,5418450.5,249.0399932861328
499474.3125,5418462.0,251.3300018310547
499474.875,5418473.5,250.74000549316406
499475.5625,5418484.5,247.30999755859375
499476.125,5418496.0,246.99000549316406
499476.6875,5418507.0,246.58999633789062
499476.9375,5418518.5,252.38999938964844
499477.78125,5418530.0,246.11000061035156
499478.34375,5418541.5,245.75999450683594
499478.875,5418553.0,245.80999755859375
499479.4375,5418564.0,245.52999877929688
499479.96875,5418575.5,245.6300048828125
499480.53125,5418587.0,245.4600067138672
499480.59375,5418597.5,255.36000061035156
499482.125,5418636.5,262.44000244140625
499482.09375,5418646.0,272.94000244140625
499482.375,5418656.5,277.6000061035156
499483.875,5418671.5,260.44000244140625
499484.625,5418684.5,256.92999267578125
499485.90625,5418699.5,244.57000732421875
499485.375,5418706.5,263.57000732421875
499487.0,5418723.5,245.80999755859375
499476.125,5418340.5,268.9800109863281
499476.65625,5418352.0,268.6700134277344
499476.875,5418364.5,277.29998779296875
499477.9375,5418373.0,263.3900146484375
499478.25,5418385.5,269.42999267578125
499479.0625,5418395.5,262.5799865722656
499479.875,5418406.0,255.3000030517578
499449.5625,5418648.5,254.3300018310547
499449.84375,5418668.5,269.7799987792969
499450.0625,5418679.0,275.3900146484375
499451.5,5418694.5,259.29998779296875
499452.9375,5418711.0,243.69000244140625
499452.9375,5418720.0,253.9600067138672
499450.46875,5418484.5,246.5800018310547
499451.0,5418495.5,246.38999938964844
499451.40625,5418507.0,249.32000732421875
499452.09375,5418518.0,246.0399932861328
499452.625,5418529.5,245.83999633789062
499453.1875,5418541.0,245.67999267578125
499453.71875,5418552.5,245.57000732421875
499454.25,5418564.0,245.49000549316406
499454.8125,5418575.5,245.5500030517578
499455.34375,5418586.5,245.4499969482422
499455.375,5418597.0,255.30999755859375
499455.3125,5418607.0,267.7300109863281
499457.0,5418636.5,260.5299987792969
